ID,Department,School
RIA24,Research Institute on Addictions,Research Center and Institute
SSW13,School of Social Work,School of Social Work
RIA16,Research Institute on Addictions,Research Center and Institute
PSY17,Psychology,College of Arts and Sciences
PHS08,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
PT09,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
PB14,Physiology & Biophysics,School of Medicine and Biomedical Sciences
GLY05,Geology,College of Arts and Sciences
GLY07,Geology,College of Arts and Sciences
OBL12,Oral Biology,School of Dental Medicine
OBL07,Oral Biology,School of Dental Medicine
EEH16,Epidemiology and Environmental Health,School of Public Health and Health Professions
LAW05,Law School,Law School
CHI04,Psychiatry,School of Medicine and Biomedical Sciences
CCR01,Center for Computational Research,Research Center and Institute
CCR02,Center for Computational Research,Research Center and Institute
FMM02,Family Medicine,School of Medicine and Biomedical Sciences
PHA02,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
COM02,Communication,College of Arts and Sciences
PHY06,Physics,College of Arts and Sciences
PED02,Periodontics and Endodontics,School of Dental Medicine
BIO01,Biological Sciences,College of Arts and Sciences
BIO05,Biological Sciences,College of Arts and Sciences
CSE09,Computer Science and Engineering,School of Engineering and Applied Sciences
MIM03,Microbiology and Immunology,School of Medicine and Biomedical Sciences
CHE01,Chemistry,College of Arts and Sciences
BIO22,Biological Sciences,College of Arts and Sciences
GLY04,Geology,College of Arts and Sciences
CCR04,Center for Computational Research,Research Center and Institute
RES05,Rehabilitation Sciences,School of Public Health and Health Professions
RES06,Rehabilitation Sciences,School of Public Health and Health Professions
RES10,Rehabilitation Sciences,School of Public Health and Health Professions
BCH05,Biochemistry,School of Medicine and Biomedical Sciences
OMS01,Oral and Maxillofacial Surgery,School of Dental Medicine
EE04,Electrical Engineering,School of Engineering and Applied Sciences
EE13,Electrical Engineering,School of Engineering and Applied Sciences
EE17,Electrical Engineering,School of Engineering and Applied Sciences
LAI04,Learning and Instruction,Graduate School of Education
MIM04,Microbiology and Immunology,School of Medicine and Biomedical Sciences
MIM06,Microbiology and Immunology,School of Medicine and Biomedical Sciences
MAE04,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
GLY03,Geology,College of Arts and Sciences
RIA03,Research Institute on Addictions,Research Center and Institute
SS03,University Libraries,School Service
SS13,University Libraries,School Service
SS24,University Libraries,School Service
GYN02,Gynecology & Obstetrics,School of Medicine and Biomedical Sciences
PB04,Physiology & Biophysics,School of Medicine and Biomedical Sciences
ELP06,Educational Leadership and Policy,Graduate School of Education
CE07,Chemical and Biological Engineering,School of Engineering and Applied Sciences
CHE08,Chemistry,College of Arts and Sciences
NEU02,Neurology,School of Medicine and Biomedical Sciences
CHE18,Chemistry,College of Arts and Sciences
CIE05,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
CIE22,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
URO01,Urology,School of Medicine and Biomedical Sciences
MDC11,Medicine,School of Medicine and Biomedical Sciences
MDC16,Medicine,School of Medicine and Biomedical Sciences
PB19,Physiology & Biophysics,School of Medicine and Biomedical Sciences
CDS16,Communicative Disorders & Sciences,College of Arts and Sciences
MAE17,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
ODS02,Oral Diagnostic Sciences,School of Dental Medicine
IE01,Industrial and Systems Engineering,School of Engineering and Applied Sciences
MDC34,Medicine,School of Medicine and Biomedical Sciences
CIE14,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
PB02,Physiology & Biophysics,School of Medicine and Biomedical Sciences
CHI09,Psychiatry,School of Medicine and Biomedical Sciences
EE16,Electrical Engineering,School of Engineering and Applied Sciences
MAE12,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CCR03,Center for Computational Research,Research Center and Institute
CCR06,Center for Computational Research,Research Center and Institute
MTH12,Mathematics,College of Arts and Sciences
SUR06,Surgery,School of Medicine and Biomedical Sciences
