ID,Department,School
PHA18,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
BIO24,Biological Sciences,College of Arts and Sciences
PHA08,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
CCR04,Center for Computational Research,Research Center and Institute
PHS08,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
URP02,Urban and Regional Planning,School of Architecture and Planning
URP03,Urban and Regional Planning,School of Architecture and Planning
CIE14,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
ODS14,Oral Diagnostic Sciences,School of Dental Medicine
CSEP03,"Counseling, School and Educational Psychology",Graduate School of Education
CSE37,Computer Science and Engineering,School of Engineering and Applied Sciences
CDS10,Communicative Disorders & Sciences,College of Arts and Sciences
CHD04,Center for Hearing & Deafness,College of Arts and Sciences
CDS16,Communicative Disorders & Sciences,College of Arts and Sciences
CHE18,Chemistry,College of Arts and Sciences
PSY01,Psychology,College of Arts and Sciences
PSY10,Psychology,College of Arts and Sciences
MIM03,Microbiology and Immunology,School of Medicine and Biomedical Sciences
MIM09,Microbiology and Immunology,School of Medicine and Biomedical Sciences
CE02,Chemical and Biological Engineering,School of Engineering and Applied Sciences
EE16,Electrical Engineering,School of Engineering and Applied Sciences
PAS09,Pathology and Anatomical Sciences,School of Medicine and Biomedical Sciences
PAS04,Pathology and Anatomical Sciences,School of Medicine and Biomedical Sciences
PSY21,Psychology,College of Arts and Sciences
MAE18,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CIE22,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
GEO08,Geography,College of Arts and Sciences
GLY16,Geology,College of Arts and Sciences
OBL10,Oral Biology,School of Dental Medicine
GLY04,Geology,College of Arts and Sciences
CCR06,Center for Computational Research,Research Center and Institute
MTH12,Mathematics,College of Arts and Sciences
EE13,Electrical Engineering,School of Engineering and Applied Sciences
FMM03,Family Medicine,School of Medicine and Biomedical Sciences
FMM04,Family Medicine,School of Medicine and Biomedical Sciences
FMM10,Family Medicine,School of Medicine and Biomedical Sciences
FMM16,Family Medicine,School of Medicine and Biomedical Sciences
MDC02,Medicine,School of Medicine and Biomedical Sciences
PHA10,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
PHA14,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
MDC37,Medicine,School of Medicine and Biomedical Sciences
MDC03,Medicine,School of Medicine and Biomedical Sciences
MDC10,Medicine,School of Medicine and Biomedical Sciences
MDC17,Medicine,School of Medicine and Biomedical Sciences
FMM15,Family Medicine,School of Medicine and Biomedical Sciences
FMM17,Family Medicine,School of Medicine and Biomedical Sciences
FMM19,Family Medicine,School of Medicine and Biomedical Sciences
RTD02,Restorative Dentistry,School of Dental Medicine
EEH02,Epidemiology and Environmental Health,School of Public Health and Health Professions
BST05,Biostatistics,School of Public Health and Health Professions
PHS09,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
FMM20,Family Medicine,School of Medicine and Biomedical Sciences
FMM18,Family Medicine,School of Medicine and Biomedical Sciences
MDC19,Medicine,School of Medicine and Biomedical Sciences
FMM08,Family Medicine,School of Medicine and Biomedical Sciences
CHE07,Chemistry,College of Arts and Sciences
OMS01,Oral and Maxillofacial Surgery,School of Dental Medicine
OMS02,Oral and Maxillofacial Surgery,School of Dental Medicine
SNG20,School of Nursing,School of Nursing
CHHB03,Community Health and Health Behavior,School of Public Health and Health Professions
MDC21,Medicine,School of Medicine and Biomedical Sciences
FMM09,Family Medicine,School of Medicine and Biomedical Sciences
FMM05,Family Medicine,School of Medicine and Biomedical Sciences
OBL12,Oral Biology,School of Dental Medicine
OBL05,Oral Biology,School of Dental Medicine
BST08,Biostatistics,School of Public Health and Health Professions
CE07,Chemical and Biological Engineering,School of Engineering and Applied Sciences
CHE03,Chemistry,College of Arts and Sciences
CSE09,Computer Science and Engineering,School of Engineering and Applied Sciences
CIE06,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
OMS03,Oral and Maxillofacial Surgery,School of Dental Medicine
PT09,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
CCR01,Center for Computational Research,Research Center and Institute
CCR02,Center for Computational Research,Research Center and Institute
CE04,Chemical and Biological Engineering,School of Engineering and Applied Sciences
PT18,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
LAI10,Learning and Instruction,Graduate School of Education
BCH03,Biochemistry,School of Medicine and Biomedical Sciences
TCIE01,Center for Industrial Effectiveness,School of Engineering and Applied Sciences
IE08,Industrial and Systems Engineering,School of Engineering and Applied Sciences
PEI19,Pediatrics,School of Medicine and Biomedical Sciences
PEI22,Pediatrics,School of Medicine and Biomedical Sciences
RES14,Rehabilitation Sciences,School of Public Health and Health Professions
SS17,University Libraries,School Service
SS18,University Libraries,School Service
PSY15,Psychology,College of Arts and Sciences
CHE08,Chemistry,College of Arts and Sciences
MAE26,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
URP05,Urban and Regional Planning,School of Architecture and Planning
GLY08,Geology,College of Arts and Sciences
NEU02,Neurology,School of Medicine and Biomedical Sciences
BCH02,Biochemistry,School of Medicine and Biomedical Sciences
RIA02,Research Institute on Addictions,Research Center and Institute
