ID,Department,School
CSEP06,"Counseling, School and Educational Psychology",Graduate School of Education
CCR03,Center for Computational Research,Research Center and Institute
CCR06,Center for Computational Research,Research Center and Institute
LAI10,Learning and Instruction,Graduate School of Education
MAE18,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
BCH02,Biochemistry,School of Medicine and Biomedical Sciences
BST03,Biostatistics,School of Public Health and Health Professions
CHI02,Psychiatry,School of Medicine and Biomedical Sciences
NUM01,Nuclear Medicine,School of Medicine and Biomedical Sciences
ORH04,Orthopaedics,School of Medicine and Biomedical Sciences
NUM03,Nuclear Medicine,School of Medicine and Biomedical Sciences
EEH08,Epidemiology and Environmental Health,School of Public Health and Health Professions
EEH22,Epidemiology and Environmental Health,School of Public Health and Health Professions
BIO06,Biological Sciences,College of Arts and Sciences
PSY01,Psychology,College of Arts and Sciences
RIA08,Research Institute on Addictions,Research Center and Institute
PSY03,Psychology,College of Arts and Sciences
CCR04,Center for Computational Research,Research Center and Institute
CE18,Chemical and Biological Engineering,School of Engineering and Applied Sciences
PHS08,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
MDC02,Medicine,School of Medicine and Biomedical Sciences
GLY22,Geology,College of Arts and Sciences
ANE01,Anesthesiology,School of Medicine and Biomedical Sciences
PEI12,Pediatrics,School of Medicine and Biomedical Sciences
BST06,Biostatistics,School of Public Health and Health Professions
EEH06,Epidemiology and Environmental Health,School of Public Health and Health Professions
PSY02,Psychology,College of Arts and Sciences
LAI07,Learning and Instruction,Graduate School of Education
PT10,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
CHI03,Psychiatry,School of Medicine and Biomedical Sciences
PAS02,Pathology and Anatomical Sciences,School of Medicine and Biomedical Sciences
MDC16,Medicine,School of Medicine and Biomedical Sciences
BST02,Biostatistics,School of Public Health and Health Professions
BCH12,Biochemistry,School of Medicine and Biomedical Sciences
BME03,Biomedical Engineering,School of Engineering and Applied Sciences
CIE03,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
PSC02,Political Science,College of Arts and Sciences
URP01,Urban And Regional Planning,School of Architecture and Planning
LIN01,Linguistics,College of Arts and Sciences
GLY14,Geology,College of Arts and Sciences
ENS09,Exercise and Nutrition Sciences,School of Public Health and Health Professions
RES09,Rehabilitation Sciences,School of Public Health and Health Professions
OMS01,Oral and Maxillofacial Surgery,School of Dental Medicine
CSE09,Computer Science and Engineering,School of Engineering and Applied Sciences
CSEP03,"Counseling, School and Educational Psychology",Graduate School of Education
CSEP01,"Counseling, School and Educational Psychology",Graduate School of Education
NEU01,Neurology,School of Medicine and Biomedical Sciences
NEU26,Neurology,School of Medicine and Biomedical Sciences
IE03,Industrial and Systems Engineering,School of Engineering and Applied Sciences
CE02,Chemical and Biological Engineering,School of Engineering and Applied Sciences
PB05,Physiology & Biophysics,School of Medicine and Biomedical Sciences
NEU23,Neurology,School of Medicine and Biomedical Sciences
TCIE01,Center for Industrial Effectiveness,School of Engineering and Applied Sciences
NUM07,Nuclear Medicine,School of Medicine and Biomedical Sciences
BCH03,Biochemistry,School of Medicine and Biomedical Sciences
PT12,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
PHS09,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
PAS09,Pathology and Anatomical Sciences,School of Medicine and Biomedical Sciences
PHA14,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
MDC30,Medicine,School of Medicine and Biomedical Sciences
GYN02,Gynecology & Obstetrics,School of Medicine and Biomedical Sciences
MDC45,Medicine,School of Medicine and Biomedical Sciences
PB14,Physiology & Biophysics,School of Medicine and Biomedical Sciences
OBL10,Oral Biology,School of Dental Medicine
STOR02,"Science, Technology Transfer and Economic Outreach",Research Center and Institute
CE13,Chemical and Biological Engineering,School of Engineering and Applied Sciences
PHA08,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
DERM02,Dermatology,School of Medicine and Biomedical Sciences
OBL07,Oral Biology,School of Dental Medicine
SS17,University Libraries,School Service
SS19,University Libraries,School Service
GEO05,Geography,College of Arts and Sciences
RTD04,Restorative Dentistry,School of Dental Medicine
OBL02,Oral Biology,School of Dental Medicine
NEU11,Neurology,School of Medicine and Biomedical Sciences
RTD08,Restorative Dentistry,School of Dental Medicine
RES05,Rehabilitation Sciences,School of Public Health and Health Professions
IE10,Industrial and Systems Engineering,School of Engineering and Applied Sciences
CIE09,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
BIO24,Biological Sciences,College of Arts and Sciences
ILPB02,Institute for Lasers Photonics and Biophotonics,Research Center and Institute
CCR02,Center for Computational Research,Research Center and Institute
NEU03,Neurology,School of Medicine and Biomedical Sciences
FMM03,Family Medicine,School of Medicine and Biomedical Sciences
FMM05,Family Medicine,School of Medicine and Biomedical Sciences
MDC21,Medicine,School of Medicine and Biomedical Sciences
FMM07,Family Medicine,School of Medicine and Biomedical Sciences
FMM10,Family Medicine,School of Medicine and Biomedical Sciences
MAE06,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CHE03,Chemistry,College of Arts and Sciences
EE06,Electrical Engineering,School of Engineering and Applied Sciences
PHY15,Physics,College of Arts and Sciences
CHE34,Chemistry,College of Arts and Sciences
CIE28,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
ORH06,Orthopaedics,School of Medicine and Biomedical Sciences
CIE10,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
SSW20,School of Social Work,School of Social Work
CHHB04,Community Health and Health Behavior,School of Public Health and Health Professions
GEO02,Geography,College of Arts and Sciences
SNG08,School of Nursing,School of Nursing
CSEP05,"Counseling, School and Educational Psychology",Graduate School of Education
CIE24,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
MDC57,Medicine,School of Medicine and Biomedical Sciences
MDC64,Medicine,School of Medicine and Biomedical Sciences
MDC67,Medicine,School of Medicine and Biomedical Sciences
EE09,Electrical Engineering,School of Engineering and Applied Sciences
OMS02,Oral and Maxillofacial Surgery,School of Dental Medicine
LAI02,Learning and Instruction,Graduate School of Education
LAI06,Learning and Instruction,Graduate School of Education
LAI03,Learning and Instruction,Graduate School of Education
LAI04,Learning and Instruction,Graduate School of Education
PEI16,Pediatrics,School of Medicine and Biomedical Sciences
CHI09,Psychiatry,School of Medicine and Biomedical Sciences
CIE02,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
MDC03,Medicine,School of Medicine and Biomedical Sciences
PHY06,Physics,College of Arts and Sciences
MDC56,Medicine,School of Medicine and Biomedical Sciences
MDC25,Medicine,School of Medicine and Biomedical Sciences
MDC69,Medicine,School of Medicine and Biomedical Sciences
PHI02,Philosophy,College of Arts and Sciences
PEI07,Pediatrics,School of Medicine and Biomedical Sciences
PEI13,Pediatrics,School of Medicine and Biomedical Sciences
THD03,Theatre and Dance,College of Arts and Sciences
LAI17,Learning and Instruction,Graduate School of Education
ELP01,Educational Leadership and Policy,Graduate School of Education
MGF01,Finance,School of Management
MAE05,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
MAE26,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
MAE22,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CSE05,Computer Science and Engineering,School of Engineering and Applied Sciences
NEU13,Neurology,School of Medicine and Biomedical Sciences
BCLS01,Biotechnical and Clinical Laboratory Sciences,School of Medicine and Biomedical Sciences
CE04,Chemical and Biological Engineering,School of Engineering and Applied Sciences
CIE12,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
PHS02,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
FMM22,Family Medicine,School of Medicine and Biomedical Sciences
CHE25,Chemistry,College of Arts and Sciences
ILPB05,Institute for Lasers Photonics and Biophotonics,Research Center and Institute
PHA02,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
EE04,Electrical Engineering,School of Engineering and Applied Sciences
EE13,Electrical Engineering,School of Engineering and Applied Sciences
EE17,Electrical Engineering,School of Engineering and Applied Sciences
PT11,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
IE15,Industrial and Systems Engineering,School of Engineering and Applied Sciences
PHA28,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
PHA13,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
PHA21,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
CSE03,Computer Science and Engineering,School of Engineering and Applied Sciences
NER01,Neurosurgery,School of Medicine and Biomedical Sciences
CSE08,Computer Science and Engineering,School of Engineering and Applied Sciences
MAE13,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
IE01,Industrial and Systems Engineering,School of Engineering and Applied Sciences
CIE15,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
ILPB08,Institute for Lasers Photonics and Biophotonics,Research Center and Institute
PT01,Pharmacology & Toxicology,School of Medicine and Biomedical Sciences
EEH16,Epidemiology and Environmental Health,School of Public Health and Health Professions
CSE19,Computer Science and Engineering,School of Engineering and Applied Sciences
CIE14,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
CEDI02,NYS Center for Engineering Design and Industrial Innovation,School of Engineering and Applied Sciences
PHA03,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
PHA26,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
CE07,Chemical and Biological Engineering,School of Engineering and Applied Sciences
CE12,Chemical and Biological Engineering,School of Engineering and Applied Sciences
IE06,Industrial and Systems Engineering,School of Engineering and Applied Sciences
PHS16,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
CHE07,Chemistry,College of Arts and Sciences
MTH02,Mathematics,College of Arts and Sciences
BIO29,Biological Sciences,College of Arts and Sciences
CIE11,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
PHY07,Physics,College of Arts and Sciences
CPMC02,Cora P Maloney College,Research Center and Institute
RES03,Rehabilitation Sciences,School of Public Health and Health Professions
RES04,Rehabilitation Sciences,School of Public Health and Health Professions
RES06,Rehabilitation Sciences,School of Public Health and Health Professions
RES10,Rehabilitation Sciences,School of Public Health and Health Professions
RES11,Rehabilitation Sciences,School of Public Health and Health Professions
PHA31,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
CHE01,Chemistry,College of Arts and Sciences
GEO16,Geography,College of Arts and Sciences
EEH05,Epidemiology and Environmental Health,School of Public Health and Health Professions
EEH14,Epidemiology and Environmental Health,School of Public Health and Health Professions
RIA16,Research Institute on Addictions,Research Center and Institute
PSY06,Psychology,College of Arts and Sciences
RIA28,Research Institute on Addictions,Research Center and Institute
CIE13,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
MAE11,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
MAE07,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CDS05,Communicative Disorders & Sciences,College of Arts and Sciences
GYN06,Gynecology & Obstetrics,School of Medicine and Biomedical Sciences
EEH02,Epidemiology and Environmental Health,School of Public Health and Health Professions
RIA02,Research Institute on Addictions,Research Center and Institute
RIA18,Research Institute on Addictions,Research Center and Institute
RIA05,Research Institute on Addictions,Research Center and Institute
RIA11,Research Institute on Addictions,Research Center and Institute
RIA14,Research Institute on Addictions,Research Center and Institute
RIA15,Research Institute on Addictions,Research Center and Institute
MDC06,Medicine,School of Medicine and Biomedical Sciences
ANE03,Anesthesiology,School of Medicine and Biomedical Sciences
MAE02,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CIE07,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
MAE31,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
MDC12,Medicine,School of Medicine and Biomedical Sciences
PHA18,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
MDC31,Medicine,School of Medicine and Biomedical Sciences
MDC63,Medicine,School of Medicine and Biomedical Sciences
PHA17,Pharmacy,School of Pharmacy and Pharmaceutical Sciences
EE14,Electrical Engineering,School of Engineering and Applied Sciences
CSE40,Computer Science and Engineering,School of Engineering and Applied Sciences
MAE14,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
MAE23,Mechanical & Aerospace Engineering,School of Engineering and Applied Sciences
CHE18,Chemistry,College of Arts and Sciences
ILPB07,Institute for Lasers Photonics and Biophotonics,Research Center and Institute
CIE16,"Civil, Structural & Environmental Engineering",School of Engineering and Applied Sciences
EE23,Electrical Engineering,School of Engineering and Applied Sciences
ODS12,Oral Diagnostic Sciences,School of Dental Medicine
MIM19,Microbiology and Immunology,School of Medicine and Biomedical Sciences
EE36,Electrical Engineering,School of Engineering and Applied Sciences
PHY14,Physics,College of Arts and Sciences
ORH03,Orthopaedics,School of Medicine and Biomedical Sciences
MGS02,Management Science and Systems,School of Management
IE17,Industrial and Systems Engineering,School of Engineering and Applied Sciences
MIM06,Microbiology and Immunology,School of Medicine and Biomedical Sciences
PHS04,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
PHS06,Pharmaceutical Sciences,School of Pharmacy and Pharmaceutical Sciences
